,housing_cat,pouncing_day1,pouncing_day2,pouncing_day3,pouncing_day4,pouncing_day5,pouncing_sum_all_days,pinning_day1,pinning_day2,pinning_day3,pinning_day4,pinning_day5,pinning_sum_all_days,wrestling_day1,wrestling_day2,wrestling_day3,wrestling_day4,wrestling_day5,wrestling_sum_all_days,biting_day1,biting_day2,biting_day3,biting_day4,biting_day5,biting_sum_all_days,chasing_day1,chasing_day2,chasing_day3,chasing_day4,chasing_day5,chasing_sum_all_days,total_bouts_day1,total_bouts_day2,total_bouts_day3,total_bouts_day4,total_bouts_day5,total_bouts_sum_all_days
x1_mpoa_sd_pair,0,2,11,8,16,6,43,0,3,3,7,3,16,0,6,7,12,2,27,0,0,2,1,0,3,1,10,8,14,4,37,3,30,28,50,15,126
x10_mpoa_sd_group,1,12,6,18,10,3,49,4,3,8,11,0,26,7,3,10,13,2,35,4,2,5,3,0,14,7,6,12,12,3,40,34,20,53,49,8,164
x11_mpoa_sd_group,1,14,5,7,17,4,47,8,1,10,10,1,30,13,4,13,11,5,46,3,0,3,1,0,7,12,5,15,13,3,48,50,15,48,52,13,178
x12_mpoa_sd_group,1,6,4,2,13,0,25,1,0,2,12,1,16,3,5,15,8,1,32,1,1,2,0,0,4,8,11,5,17,3,44,19,21,26,50,5,121
x2_mpoa_sd_pair,0,0,3,2,7,3,15,0,2,0,15,4,21,0,6,7,12,2,27,0,0,0,0,1,1,1,4,2,7,3,17,1,15,11,41,13,81
x3_mpoa_sd_group,1,17,31,29,9,24,110,8,24,15,12,15,74,13,20,13,11,6,63,2,1,5,3,0,11,16,29,28,23,21,117,56,105,90,58,66,375
x3_mpoa_sd_pair,0,7,3,6,9,1,26,4,3,4,8,1,20,12,9,6,13,1,41,0,0,1,0,0,1,2,2,2,6,1,13,25,17,19,36,4,101
x4_mpoa_sd_group,1,9,18,5,7,6,45,1,8,4,8,3,24,10,22,11,14,10,67,1,2,2,0,2,7,17,16,10,15,13,71,38,66,32,44,34,214
x4_mpoa_sd_pair,0,11,20,12,18,2,63,5,12,7,16,0,40,12,9,6,13,1,41,1,0,3,1,1,6,8,5,8,5,1,27,37,46,36,53,5,177
x5_mpoa_sd_pair,0,4,1,0,2,0,7,2,1,0,1,0,4,5,5,0,3,0,13,0,0,0,0,0,0,4,2,0,1,0,7,15,9,0,7,0,31
x7_mpoa_sd_group,1,0,14,8,17,6,45,0,14,8,10,0,32,1,11,8,14,12,46,1,5,2,4,1,13,2,18,10,13,4,47,4,62,36,58,23,183
x7_mpoa_sd_pair,0,4,9,4,7,0,24,2,3,2,5,0,12,2,7,3,6,0,18,0,1,1,0,0,2,1,10,6,14,0,31,9,30,16,32,0,87
x8_mpoa_sd_group,1,19,32,30,24,13,118,9,18,13,21,7,68,7,29,18,26,12,92,1,4,1,2,2,10,15,24,15,16,15,85,51,107,77,89,49,373
x8_mpoa_sd_pair,0,2,11,15,10,0,38,0,6,3,2,0,11,2,7,3,6,0,18,0,1,0,0,0,1,0,5,7,9,0,21,4,30,28,27,0,89
x9_mpoa_sd_group,1,16,8,22,15,0,61,12,7,13,6,0,38,11,6,14,7,0,38,1,2,0,2,0,5,12,4,17,8,0,41,52,27,66,38,0,183
x9_mpoa_sd_pair,0,3,0,3,0,0,6,2,0,1,0,0,3,2,0,6,0,0,8,0,0,2,0,0,2,1,0,6,0,0,7,8,0,18,0,0,26
