,sex,aggression,approach,bath,bleh_call,beak_wipe,defecate,displace,drink,feed,fly_to_new_perch,hop,leg_stretch,change_perch,exploratory_peck,preen,prrp_call,ruffle_feathers,roost,seconds_singing,scratch,sleep,wing_stretch,walk,wing_wave,yawn
x9_mpoa_vulgaris_male,male,0,0,0,0,16,4,1,0,3,22,10,0,2,2,69,0,12,0,22,4,4,1,7,0,0
x15_mpoa_vulgaris_male,male,4,2,0,0,38,1,1,9,19,38,21,9,19,15,82,3,22,0,14,8,4,10,31,0,0
x4_mpoa_vulgaris_male,male,4,0,0,0,4,6,9,0,13,52,20,11,17,4,100,0,18,0,1,3,1,4,17,0,0
x14_mpoa_vulgaris_male,male,2,1,0,0,40,15,0,2,18,79,12,14,15,2,108,24,28,0,2,27,6,7,34,0,1
x16_mpoa_vulgaris_male,male,10,4,0,1,78,11,3,13,54,95,27,2,23,2,90,24,21,0,13,17,3,5,39,0,2
x13_mpoa_vulgaris_male,male,9,1,0,0,56,13,10,6,18,162,39,7,54,12,33,3,26,0,94,17,0,4,35,0,0
x3_mpoa_vulgaris_male,male,2,0,0,0,71,10,5,10,26,183,29,11,57,5,80,27,22,0,72,16,5,5,32,0,1
x12_mpoa_vulgaris_male,male,3,0,0,0,24,10,4,3,10,264,62,1,66,12,60,2,21,0,54,5,0,2,37,0,1
x10_mpoa_vulgaris_male,male,24,7,0,1,114,19,24,10,32,284,146,4,119,3,100,3,35,4,0,14,6,5,101,1,1
x5_mpoa_vulgaris_male,male,4,1,0,1,66,14,3,10,41,304,41,6,65,4,70,5,26,0,57,9,1,2,36,0,0
x8_mpoa_vulgaris_male,male,8,7,0,0,45,13,10,5,27,305,73,1,74,16,47,14,53,0,47,10,0,2,50,154,0
x18_mpoa_vulgaris_female,female,4,0,0,0,79,8,3,8,29,75,45,3,26,5,189,0,64,0,0,75,3,5,43,0,0
x20_mpoa_vulgaris_female,female,6,1,0,1,39,7,6,6,17,91,26,18,53,17,93,2,18,0,20,10,2,17,35,0,1
x11_mpoa_vulgaris_female,female,17,2,0,1,26,11,8,11,37,105,38,7,44,26,130,6,18,0,20,12,0,7,88,0,1
x17_mpoa_vulgaris_female,female,17,0,0,1,75,9,3,9,50,122,53,8,39,3,156,4,25,0,0,18,2,4,53,0,1
x6_mpoa_vulgaris_female,female,4,0,0,0,30,11,5,6,11,122,53,9,52,12,77,3,36,0,8,7,7,9,38,0,0
x22_mpoa_vulgaris_female,female,3,1,0,0,5,3,3,4,16,138,21,1,2,3,35,0,18,0,7,2,0,0,12,0,0
x2_mpoa_vulgaris_female,female,15,2,1,9,83,15,4,19,23,150,73,2,33,9,74,2,26,0,4,16,6,3,41,0,2
x1_mpoa_vulgaris_female,female,4,1,0,0,37,11,1,8,8,159,38,13,49,3,37,0,21,0,1,6,6,3,32,0,3
x19_mpoa_vulgaris_female,female,12,2,0,1,56,12,6,6,11,172,111,4,105,14,26,0,24,0,10,6,3,2,33,0,1
x7_mpoa_vulgaris_female,female,9,4,0,0,20,11,7,9,20,224,101,4,16,7,39,1,15,0,28,3,0,2,36,0,0
x21_mpoa_vulgaris_female,female,5,4,0,1,55,8,4,7,10,334,96,4,67,4,43,17,15,0,0,9,1,1,41,0,0
