ensembl_id,gene_id,Description
ENSRNOG00000059443,LOC103690028,zinc finger protein 622
ENSRNOG00000025890,Opa3,"OPA3, outer mitochondrial membrane lipid metabolism regulator"
ENSRNOG00000024172,T2,brachyury 2
ENSRNOG00000027797,Nit2,"nitrilase family, member 2"
ENSRNOG00000047706,LOC103690108,"class I histocompatibility antigen, Non-RT1.A alpha-1 chain-like"
ENSRNOG00000047551,LOC100911615,patatin-like phospholipase domain-containing protein 2-like
ENSRNOG00000012966,Acadl,"acyl-CoA dehydrogenase, long chain"
ENSRNOG00000007037,Cfap57,cilia and flagella associated protein 57
ENSRNOG00000024411,Cbr4,carbonyl reductase 4
ENSRNOG00000055858,Myb,"MYB proto-oncogene, transcription factor"
ENSRNOG00000030476,LOC100364457,ribosomal protein L9-like
ENSRNOG00000060949,Anxa8,annexin A8
ENSRNOG00000029726,Gstm1,glutathione S-transferase mu 1
ENSRNOG00000048597,Pak2,p21 (RAC1) activated kinase 2
ENSRNOG00000009061,Cfap206,cilia and flagella associated protein 206
ENSRNOG00000037406,RGD1564171,RGD1564171
ENSRNOG00000037688,Ak9,adenylate kinase 9
ENSRNOG00000058785,LOC103692170,coiled-coil domain-containing protein 142
ENSRNOG00000045578,AABR07072546.1,
ENSRNOG00000016716,Armc3,armadillo repeat containing 3
ENSRNOG00000030069,Faim,Fas apoptotic inhibitory molecule
ENSRNOG00000058664,Usp9y,"ubiquitin specific peptidase 9, Y-linked"
ENSRNOG00000013027,Rgl3,ral guanine nucleotide dissociation stimulator-like 3
ENSRNOG00000006876,Msx1,msh homeobox 1
ENSRNOG00000009779,Krt8,keratin 8
ENSRNOG00000012932,Ccdc146,coiled-coil domain containing 146
ENSRNOG00000018627,Plekhb1,pleckstrin homology domain containing B1
ENSRNOG00000024707,Tp73,tumor protein p73
ENSRNOG00000028064,Fhad1,forkhead associated phosphopeptide binding domain 1
ENSRNOG00000036585,Cfap43,cilia and flagella associated protein 43
ENSRNOG00000001963,Mx2,MX dynamin like GTPase 2
ENSRNOG00000001494,Napa,NSF attachment protein alpha
ENSRNOG00000002120,Spata18,spermatogenesis associated 18
